"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Elkhorn Valley Rehabilitation Hospital","WY","Healthcare Provider","3636","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Spartanburg Rehabilitation Institute","SC","Healthcare Provider","4506","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Weslaco Regional Rehabilitation Hospital","TX","Healthcare Provider","2781","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Utah Valley Rehabilitation Hospital","UT","Healthcare Provider","1642","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Trustpoint Rehabilitation Hospital of Lubbock","TX","Healthcare Provider","9014","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Denver Regional Rehabilitation Hospital","CO","Healthcare Provider","848","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Summa Rehabilitation Hospital","OH","Healthcare Provider","2986","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Bloomington Regional Rehabilitation Hospital","IN","Healthcare Provider","1191","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Rehabilitation Hospital of the Northwest","ID","Healthcare Provider","3821","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Rehabilitation Hospital of Southern New Mexico","NM","Healthcare Provider","5466","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Bakersfield Rehabilitation Hospital","CA","Healthcare Provider","852","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Rehabilitation Hospital of Southern California","CA","Healthcare Provider","925","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Rehabilitation Hospital of Northwest Ohio","OH","Healthcare Provider","3671","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Northern Colorado Rehabilitation Hospital","CO","Healthcare Provider","885","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Northern Colorado Long Term Acute Hospital","CO","Healthcare Provider","4335","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"New Braunfels Regional Rehabilitation Hospital","TX","Healthcare Provider","5384","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Mountain Valley Regional Rehabilitation Hospital","AZ","Healthcare Provider","5963","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Advanced Care Hospital of Southern New Mexico","NM","Healthcare Provider","1162","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Midlands Regional Rehabilitation Hospital","SC","Healthcare Provider","2018","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Lafayette Regional Rehabilitation Hospital","IN","Healthcare Provider","2861","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Greenwood Regional Rehabilitation Hospital","SC","Healthcare Provider","5823","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Corpus Christi Rehabilitation Hospital","TX","Healthcare Provider","3581","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Highmark","PA","Health Plan","5356","03/29/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Florida Pediatric Associates, LLC ","FL","Healthcare Provider","1104","03/28/2024","Hacking/IT Incident","Network Server","Yes",""
"Strive Holdco, LLC","TX","Healthcare Provider","501","03/28/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Risas Dental & Braces","PA","Healthcare Provider","618189","03/28/2024","Hacking/IT Incident","Network Server","No",""
"UT Southwestern Medical Center","TX","Healthcare Provider","1956","03/27/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Washington County Department of Human Services","PA","Healthcare Provider","13583","03/26/2024","Hacking/IT Incident","Network Server","No",""
"Baytown Medical Center, L.P.","TX","Healthcare Provider","1500","03/25/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Pembina County Memorial Hospital","ND","Healthcare Provider","23811","03/25/2024","Hacking/IT Incident","Network Server","No",""
"Family Health Center ","MI","Healthcare Provider","33240","03/24/2024","Hacking/IT Incident","Network Server","No",""
"Robert Peterson DD.S. PC","OR","Healthcare Provider","6500","03/23/2024","Theft","Paper/Films","No",""
"Designed Receivable Solutions, Inc.","CA","Business Associate","129584","03/23/2024","Hacking/IT Incident","Network Server","Yes",""
"Human Development Services of Westchester, Inc.","NY","Healthcare Provider","506","03/23/2024","Hacking/IT Incident","Email","No",""
"Mary H. Makhlouf, DMD, MS, PA","NC","Healthcare Provider","1797","03/22/2024","Hacking/IT Incident","Network Server","No",""
"Ethos, also known as Southwest Boston Senior Services","MA","Business Associate","14503","03/22/2024","Hacking/IT Incident","Network Server","Yes",""
"Emergency Medical Services Authority","OK","Healthcare Provider","611743","03/22/2024","Hacking/IT Incident","Network Server","No",""
"County of Los Angeles Department of Mental Health","CA","Healthcare Provider","1408","03/22/2024","Hacking/IT Incident","Email","No",""
"Lakewood Medical Center, PC","CO","Healthcare Provider","2500","03/21/2024","Hacking/IT Incident","Network Server","No",""
"M&D Capital Premier Billing LLC","NY","Business Associate","284326","03/21/2024","Hacking/IT Incident","Network Server","Yes",""
"City of Conneaut","OH","Healthcare Provider","771","03/21/2024","Hacking/IT Incident","Email","No",""
"Battle Mountain General Hospital","NV","Healthcare Provider","3000","03/21/2024","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Western New York Independent Living, Inc.","NY","Healthcare Provider","2886","03/19/2024","Hacking/IT Incident","Network Server","No",""
"Ezras Choilim Health Center, Inc.","NY","Healthcare Provider","59861","03/19/2024","Hacking/IT Incident","Network Server","No",""
"Valley Oaks Health ","IN","Healthcare Provider","50034","03/18/2024","Hacking/IT Incident","Network Server","No",""
"Bonney Forge Corporation","PA","Health Plan","672","03/18/2024","Hacking/IT Incident","Network Server","No",""
"RxBenefits, Inc. ","AL","Business Associate","3396","03/18/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Andor Labs","NC","Healthcare Provider","500","03/18/2024","Theft","Laptop","No",""
"Sycamore Rehabilitation Services, Inc.","IN","Healthcare Provider","3414","03/18/2024","Hacking/IT Incident","Network Server","No",""
"Weirton Medical Center","WV","Healthcare Provider","26793","03/18/2024","Hacking/IT Incident","Network Server","No",""
"Philips Respironics","PA","Business Associate","1125","03/15/2024","Hacking/IT Incident","Network Server","Yes",""
"Aveanna Healthcare","GA","Healthcare Provider","65482","03/15/2024","Hacking/IT Incident","Email","No",""
"Cornerstone Healthcare Group Management Services LLC","KY","Business Associate","500","03/14/2024","Hacking/IT Incident","Network Server","Yes",""
"Bronson Healthcare Group","MI","Healthcare Provider","1597","03/13/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Plymouth Tube Company Employee Benefit Plan","IL","Health Plan","2652","03/13/2024","Hacking/IT Incident","Network Server","No",""
"A5 PHARMACY INC.","NY","Healthcare Provider","3000","03/13/2024","Hacking/IT Incident","Network Server","No",""
"Lindsay Municipal Hospital","OK","Healthcare Provider","500","03/13/2024","Hacking/IT Incident","Email","No",""
"Healthfirst (consisting of those plans under Healthfirst PHSP, Inc., Healthfirst Health Plan, Inc., and Healthfirst Insurance Company, Inc.","NY","Health Plan","6836","03/13/2024","Unauthorized Access/Disclosure","Other","No",""
"Newton Centre Dental","MA","Healthcare Provider","2547","03/12/2024","Unauthorized Access/Disclosure","Email","No",""
"CCM Health","MN","Healthcare Provider","28760","03/12/2024","Hacking/IT Incident","Network Server","No",""
"R1 RCM Inc.","IL","Business Associate","16121","03/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Texas Health and Human Services ","TX","Health Plan","3392","03/11/2024","Unauthorized Access/Disclosure","Email","No",""
"Rancho Family Medical Group, Inc.","CA","Healthcare Provider","10480","03/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Blue Ridge Pediatric & Adolescent Medicine, Inc.","NC","Healthcare Provider","39282","03/11/2024","Hacking/IT Incident","Network Server","No",""
"UC San Diego Health Hillcrest- Hillcrest Medical Center","CA","Healthcare Provider","1642","03/08/2024","Hacking/IT Incident","Email","No",""
"Orsini Pharmaceutical Services, LLC","IL","Healthcare Provider","1433","03/08/2024","Hacking/IT Incident","Email","No",""
"Gunster, Yoakley, & Stewart, PA","FL","Business Associate","9550","03/08/2024","Hacking/IT Incident","Network Server","Yes",""
"Jewish Home Lifecare, Inc. ","NY","Healthcare Provider","501","03/08/2024","Hacking/IT Incident","Network Server","No",""
"CDC Dental Management, Co., LLC dba Kids Care Dental & Orthodontics","CA","Healthcare Provider","2260","03/07/2024","Hacking/IT Incident","Network Server","No",""
"Dental Group of Amarillo","TX","Healthcare Provider","3821","03/06/2024","Hacking/IT Incident","Network Server","No",""
"Orthopedic Associates of Flower Mound PLLC","TX","Healthcare Provider","1759","03/06/2024","Hacking/IT Incident","Email","No",""
"Seaglass Chiropractic","NJ","Healthcare Provider","650","03/06/2024","Theft","Laptop, Other Portable Electronic Device","No",""
"University of Wisconsin Hospitals and Clinics Authority ","WI","Healthcare Provider","85902","03/05/2024","Hacking/IT Incident","Email","No",""
"BlueCross BlueShield of Tennessee, Inc. and Volunteer State Health Plan, Inc. d/b/a BlueCare Plus Tennessee","TN","Health Plan","1251","03/05/2024","Hacking/IT Incident","Network Server","No",""
"Philips Respironics","PA","Business Associate","457152","03/04/2024","Hacking/IT Incident","Network Server","Yes",""
"Vail Summit Orthopaedics, LLC (“VSON”)","CO","Healthcare Provider","1138","03/04/2024","Hacking/IT Incident","Network Server","No",""
"Bay Surgical Specialists, LLC","FL","Healthcare Provider","1505","03/04/2024","Hacking/IT Incident","Network Server","Yes",""
"Lake of the Woods County Social Services","MN","Healthcare Provider","537","03/04/2024","Hacking/IT Incident","Network Server","No",""
"Yakima Valley Radiology, PC","WA","Healthcare Provider","235249","03/01/2024","Hacking/IT Incident","Network Server","No",""
"Cherry Street Services, Inc. d/b/a Cherry Health ","MI","Healthcare Provider","181005","02/29/2024","Hacking/IT Incident","Network Server","No",""
"DGA-Producer Pension & Health Plans","CA","Health Plan","4211","02/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Highland Health Systems","AL","Healthcare Provider","83543","02/29/2024","Hacking/IT Incident","Network Server","No",""
"Kirkland & Ellis LLP","IL","Business Associate","48802","02/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Eastern Radiologists, Inc","NC","Healthcare Provider","886746","02/29/2024","Hacking/IT Incident","Network Server","No",""
"Ada Technologies, Inc. ","OH","Health Plan","2398","02/29/2024","Hacking/IT Incident","Network Server","No",""
"kmj Health Solutions","MI","Business Associate","2191","02/28/2024","Hacking/IT Incident","Network Server","Yes",""
"Oakland Community Health Network","MI","Health Plan","607","02/28/2024","Unauthorized Access/Disclosure","Email","No",""
"Northeast Orthopedics and Sports Medicine, PLLC","NY","Healthcare Provider","177101","02/27/2024","Hacking/IT Incident","Network Server","No",""
"Community Health Group Partnership Plan","CA","Health Plan","708","02/27/2024","Hacking/IT Incident","Network Server","Yes",""
"Ascend Healthcare Management LLC","AZ","Healthcare Provider","791","02/26/2024","Hacking/IT Incident","Other","No",""
"Scurry County Hospital District dba Cogdell Memorial Hospital","TX","Healthcare Provider","86981","02/24/2024","Hacking/IT Incident","Network Server","No",""
"MedQ, Inc.","TX","Business Associate","54725","02/23/2024","Hacking/IT Incident","Network Server","Yes",""
"Bold Quail Holdings, LLC (NewGen Administrative Services, LLC) ","CA","Healthcare Provider","105425","02/23/2024","Hacking/IT Incident","Network Server","Yes",""
"UNITE HERE ","NY","Business Associate","791273","02/23/2024","Hacking/IT Incident","Network Server","Yes",""
"Santa Clarita Community College District","CA","Health Plan","2324","02/23/2024","Hacking/IT Incident","Network Server","Yes",""
"Prague Regional Memorial Hospital ","OK","Healthcare Provider","1347","02/22/2024","Hacking/IT Incident","Email","No",""
"Washington County Hospital and Nursing Home","AL","Healthcare Provider","29346","02/22/2024","Hacking/IT Incident","Network Server","No",""
"Lamont Hanley & Associates, Inc.","NH","Business Associate","22216","02/22/2024","Hacking/IT Incident","Email","Yes",""
"Maryville, Inc.","NJ","Healthcare Provider","15503","02/21/2024","Hacking/IT Incident","Email","No",""
"interventional Pain and Regenerative Medicine","TX","Healthcare Provider","2843","02/21/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"East Carolina University’s Brody School of Medicine, a member of the ECU Health affiliated covered entity","NC","Healthcare Provider","19085","02/20/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Egyptian Health Department ","IL","Healthcare Provider","100000","02/20/2024","Hacking/IT Incident","Network Server","No",""
"McKenzie County Healthcare System, Inc.","ND","Healthcare Provider","21000","02/16/2024","Unauthorized Access/Disclosure","Email","No",""
"Hospice of Huntington","WV","Healthcare Provider","9013","02/16/2024","Hacking/IT Incident","Network Server","No",""
"Dedicated Physicians Group of Texas, PLLC d/b/a Dedicated Senior Medical Center","FL","Healthcare Provider","3441","02/16/2024","Theft","Other","No",""
"CareFirst BlueCross BlueShield Community Health Plan – District of Columbia","DC","Business Associate","2189","02/16/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"Mental Health Center of North Central Alabama, Inc.","AL","Healthcare Provider","75667","02/16/2024","Hacking/IT Incident","Network Server","No",""
"Dignity Health Welfare Benefits Plan","CO","Health Plan","744","02/15/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Employee Benefits Corporation of America and Benefit Design Group, Inc.","VA","Health Plan","38912","02/15/2024","Hacking/IT Incident","Network Server","No",""
"Qualcomm Incorporated","CA","Health Plan","27038","02/15/2024","Hacking/IT Incident","Network Server","Yes",""
"Amin Radiology d/b/a Citrus Diagnostic Center ","FL","Healthcare Provider","1273","02/15/2024","Hacking/IT Incident","Network Server","No",""
"BlueCross BlueShield of Tennessee, Inc. and Volunteer State Health Plan, Inc. d/b/a BlueCare Plus Tennessee","TN","Health Plan","790","02/15/2024","Hacking/IT Incident","Network Server","No",""
"Lena Pope Home Inc.","TX","Healthcare Provider","3954","02/15/2024","Hacking/IT Incident","Email","No",""
"Insurance ACE/Humana Inc.","KY","Health Plan","3480","02/14/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"North Hill Needham, Inc., North Hill Home Health Care, Inc. and North Hill Employee Dental Plan","MA","Healthcare Provider","1096","02/14/2024","Hacking/IT Incident","Network Server","No",""
"City of Dubuque Fire Department","IA","Healthcare Provider","1381","02/14/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"Roswell Park Comprehensive Cancer Center","NY","Healthcare Provider","755","02/14/2024","Hacking/IT Incident","Email","No",""
"Biomatrix Specialty Pharmacy, LLC ","FL","Healthcare Provider","3640","02/13/2024","Hacking/IT Incident","Network Server","No",""
"Lexington Health, Inc.","SC","Healthcare Provider","1994","02/12/2024","Hacking/IT Incident","Email, Other","No",""
"May Institute ","MA","Healthcare Provider","3318","02/12/2024","Hacking/IT Incident","Network Server","No",""
"Erie Indemnity Company Group Dental Assistance Plan","PA","Health Plan","3122","02/12/2024","Hacking/IT Incident","Network Server","Yes",""
"AGC Flat Glass North America, Inc. Welfare Benefits Plan","GA","Health Plan","13079","02/12/2024","Hacking/IT Incident","Network Server","No",""
"Coleman Professional Services Inc. ","OH","Healthcare Provider","51889","02/12/2024","Hacking/IT Incident","Email","No",""
"Tiegerman","NY","Healthcare Provider","19000","02/12/2024","Hacking/IT Incident","Network Server","No",""
"Prime Healthcare Employee Health Plan","CA","Health Plan","101135","02/09/2024","Hacking/IT Incident","Network Server","Yes",""
"CBIZ Marks Paneth, LLC","OH","Business Associate","5562","02/08/2024","Hacking/IT Incident","Network Server","Yes",""
"Insurance ACE/Humana Inc.","KY","Health Plan","748","02/08/2024","Unauthorized Access/Disclosure","Electronic Medical Record, Network Server, Other","No",""
"Liberty Hospital","MO","Healthcare Provider","501","02/08/2024","Hacking/IT Incident","Network Server","No",""
"Medical Management Resource Group, L.L.C.","AZ","Business Associate","2350236","02/06/2024","Hacking/IT Incident","Network Server","Yes",""
"The Bengtson Center for Aesthetics and Plastic Surgery","MI","Healthcare Provider","935","02/05/2024","Unauthorized Access/Disclosure","Desktop Computer, Network Server","No",""
"Spectrum Vision Partners","NY","Business Associate","500","02/02/2024","Hacking/IT Incident","Network Server","Yes",""
"Greater Cincinnati Behavioral Health Services ","OH","Healthcare Provider","50000","02/02/2024","Hacking/IT Incident","Network Server","No",""
"East Side Health District","IL","Healthcare Provider","559","02/02/2024","Hacking/IT Incident","Network Server","No",""
"Health Alliance Medical Plans","IL","Health Plan","6900","02/02/2024","Hacking/IT Incident","Network Server","Yes",""
"Bloom Health Centers","MD","Healthcare Provider","1954","02/01/2024","Hacking/IT Incident","Email","No",""
"Capital Health System, Inc.","NJ","Healthcare Provider","501","01/31/2024","Hacking/IT Incident","Network Server","No",""
"Crescent Community Health Center","IA","Healthcare Provider","501","01/31/2024","Hacking/IT Incident","Email","No",""
"Saint Anthony Health Ministries ","IL","Healthcare Provider","500","01/30/2024","Hacking/IT Incident","Network Server","No",""
"Veterans Health Administration","DC","Healthcare Provider","46677","01/30/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Allies for Health + Wellbeing ","PA","Healthcare Provider","680","01/30/2024","Hacking/IT Incident","Email, Other","No",""
"Sun Pain Management, LLC","AZ","Healthcare Provider","2988","01/27/2024","Hacking/IT Incident","Network Server","No",""
"CNO ACE","IN","Health Plan","65295","01/26/2024","Hacking/IT Incident","Network Server","No",""
"Kern Regional Center","CA","Healthcare Provider","700","01/26/2024","Unauthorized Access/Disclosure","Email","No",""
"INTEGRIS Health","OK","Healthcare Provider","2385646","01/26/2024","Hacking/IT Incident","Network Server","No",""
"PruittHealth, Inc.","GA","Business Associate","56405","01/26/2024","Hacking/IT Incident","Network Server","Yes",""
"Marian Village Corporation, d/b/a/ Marywood Nursing Care Center (“Marywood”) ","MI","Healthcare Provider","6178","01/24/2024","Hacking/IT Incident","Network Server","No",""
"Webber Chiropractic Sports Clinic, Inc. ","WA","Healthcare Provider","1695","01/23/2024","Hacking/IT Incident","Network Server","No",""
"Des Moines Orthopaedic Surgeons, P.C.","IA","Business Associate","55055","01/23/2024","Hacking/IT Incident","Network Server","Yes",""
"J.D. Gilmour & Co., Inc.","CA","Business Associate","2570","01/22/2024","Hacking/IT Incident","Email","Yes",""
"Coastal Hospice & Palliative Care","MD","Healthcare Provider","29100","01/22/2024","Hacking/IT Incident","Network Server","No",""
"AHS Management Company, Inc.","TN","Business Associate","23686","01/22/2024","Hacking/IT Incident","Network Server","Yes",""
"Des Moines Orthopaedic Surgeons, P.C.","IA","Healthcare Provider","307864","01/22/2024","Hacking/IT Incident","Network Server","No",""
"Catholic Charities of the Archdiocese of Miami, Inc.","FL","Healthcare Provider","1500","01/22/2024","Hacking/IT Incident","Network Server","No",""
"Omaha Firefighters Healthcare Trust ","NE","Health Plan","3567","01/20/2024","Hacking/IT Incident","Email","No",""
"Native American Health Center","CA","Healthcare Provider","4231","01/18/2024","Hacking/IT Incident","Network Server","No",""
"Regence BlueCross BlueShield of Oregon","OR","Health Plan","856","01/18/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Walker, Inc. d/b/a Walker Therapeutic & Educational Programs ","MA","Healthcare Provider","846","01/18/2024","Hacking/IT Incident","Email","No",""
"TGI Direct","MI","Business Associate","11556","01/17/2024","Hacking/IT Incident","Network Server","Yes",""
"Brady Martz & Associates PC","ND","Business Associate","13655","01/17/2024","Hacking/IT Incident","Network Server","Yes",""
"Dickinson County Health Department","KS","Healthcare Provider","1063","01/17/2024","Unauthorized Access/Disclosure","Desktop Computer","No",""
"CR Pharmacy Services, Inc. d/b/a CarePro","IA","Healthcare Provider","151499","01/15/2024","Hacking/IT Incident","Network Server","No",""
"HORNE, LLP","MS","Business Associate","170052","01/13/2024","Hacking/IT Incident","Network Server","Yes",""
"Azura Vascular Care","PA","Business Associate","348000","01/13/2024","Hacking/IT Incident","Network Server","Yes",""
"Lester and Rosalie Anixter Center","IL","Healthcare Provider","6194","01/12/2024","Hacking/IT Incident","Email","No",""
"Covenant Care California, LLC ","CA","Healthcare Provider","501","01/12/2024","Hacking/IT Incident","Network Server","No",""
"Air Methods, LLC","NV","Healthcare Provider","34063","01/12/2024","Theft","Laptop","No",""
"Family Healthcare Center","ND","Healthcare Provider","6457","01/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Hampton-Newport News Community Services Board","VA","Healthcare Provider","44312","01/11/2024","Hacking/IT Incident","Network Server","No",""
"InHealth Technologies","CA","Healthcare Provider","12143","01/09/2024","Hacking/IT Incident","Network Server","No",""
"Burr & Forman LLP","AL","Business Associate","19893","01/09/2024","Hacking/IT Incident","Network Server","Yes",""
"Coastal Plains Community Mental Health Mental Retardation Center","TX","Healthcare Provider","500","01/09/2024","Hacking/IT Incident","Network Server","No",""
"Concentra Health Services, Inc.","TX","Healthcare Provider","3998163","01/09/2024","Hacking/IT Incident","Network Server","Yes",""
"Psychological Holdings, PLLC d/b/a Senior PsychCare","TX","Healthcare Provider","75349","01/08/2024","Hacking/IT Incident","Network Server","No",""
"Sharp Health Plan","CA","Health Plan","9255","01/08/2024","Hacking/IT Incident","Network Server","Yes",""
"Catholic Heath Initiative Trinity Medical Center","OH","Healthcare Provider","797","01/08/2024","Hacking/IT Incident","Network Server","Yes",""
"Dignity Health Nevada St. Rose Dominican Hospital ","NV","Healthcare Provider","2652","01/08/2024","Hacking/IT Incident","Network Server","Yes",""
"The Harris Center for Mental Health and IDD","TX","Healthcare Provider","545001","01/05/2024","Hacking/IT Incident","Network Server","No",""
"Daleville Dental II LLC","AL","Healthcare Provider","500","01/05/2024","Hacking/IT Incident","Network Server","No",""
"Tampa Bay Surgical Group   ","FL","Healthcare Provider","1107","01/05/2024","Loss","Other Portable Electronic Device","No",""
"Cooper Clinic, P.A. ","TX","Healthcare Provider","124341","01/05/2024","Hacking/IT Incident","Network Server","No",""
"Fincantieri Marine Group, LLC","DC","Health Plan","11535","01/05/2024","Hacking/IT Incident","Network Server","No",""
"ConsensioHealth, LLC","WI","Business Associate","60871","01/04/2024","Hacking/IT Incident","Network Server","Yes",""
"Northern Inyo Healthcare District","CA","Healthcare Provider","1305","01/03/2024","Hacking/IT Incident","Network Server","Yes",""
"Amerigroup Iowa, Inc","IN","Business Associate","1023","01/03/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"Midwest Long Term Care Services DBA Senior Scripts","MO","Healthcare Provider","10566","01/02/2024","Hacking/IT Incident","Network Server","No",""
"Community Tri-County Healthcare","AL","Healthcare Provider","5809","01/02/2024","Hacking/IT Incident","Network Server","No",""
"HMG Healthcare, LLC","TX","Healthcare Provider","80000","12/29/2023","Hacking/IT Incident","Network Server","No",""
"EDI Health Group dba DentalXChange","CA","Healthcare Clearing House","2574","12/29/2023","Hacking/IT Incident","Network Server","No",""
"Electrostim Medical Services, Inc. d/b/A EMSI","FL","Healthcare Provider","542990","12/28/2023","Hacking/IT Incident","Network Server","No",""
"Fred Hutchinson Cancer Center","WA","Healthcare Provider","544","12/26/2023","Loss","Laptop","No",""
"Lake County Health Department and Community Health Center","IL","Healthcare Provider","5000","12/26/2023","Hacking/IT Incident","Email","No",""
"Meridian Behavioral Healthcare, Inc.","FL","Healthcare Provider","98808","12/22/2023","Hacking/IT Incident","Network Server","No",""
"Mountain Dermatology Specialists, PC","CO","Healthcare Provider","2705","12/22/2023","Hacking/IT Incident","Email","No",""
"Eye Physicians of Central Florida, PLLC, a division of Florida Pediatric Associates, LLC","FL","Healthcare Provider","31189","12/22/2023","Hacking/IT Incident","Network Server","No",""
"Highlands Oncology Group PA","AR","Healthcare Provider","55297","12/22/2023","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Kent County Community Mental Health Authority d/b/a Network180 ","MI","Healthcare Provider","59334","12/22/2023","Hacking/IT Incident","Email","No",""
"County of Los Angeles Department of Mental Health","CA","Healthcare Provider","1284","12/22/2023","Hacking/IT Incident","Email","No",""
"Clay County Social Services","MN","Business Associate","123807","12/22/2023","Hacking/IT Incident","Network Server","Yes",""
"NYC Health + Hospitals","NY","Healthcare Provider","1500","12/22/2023","Unauthorized Access/Disclosure","Desktop Computer, Paper/Films","No",""
"The Foleck Center, LTD","VA","Healthcare Provider","6965","12/22/2023","Hacking/IT Incident","Email","No",""
"Retina Group of Washington, PLLC","MD","Healthcare Provider","455935","12/22/2023","Hacking/IT Incident","Network Server","No",""
"Fred Hutchinson Cancer Center","WA","Healthcare Provider","890959","12/22/2023","Hacking/IT Incident","Network Server","No",""
"HealthEC LLC","NJ","Business Associate","4656293","12/21/2023","Hacking/IT Incident","Network Server","Yes",""
"AccessDx Laboratory, LLC","TX","Healthcare Provider","535","12/21/2023","Hacking/IT Incident","Email","No",""
"First Choice Dental","WI","Healthcare Provider","1000","12/21/2023","Hacking/IT Incident","Network Server","No",""
"Southeastern Orthopaedic Specialists, PA","NC","Healthcare Provider","35533","12/21/2023","Hacking/IT Incident","Network Server","No",""
"Plaza Radiology, LLC","TN","Healthcare Provider","569022","12/20/2023","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"CompleteCare Health Network","NJ","Healthcare Provider","313973","12/20/2023","Hacking/IT Incident","Network Server","No",""
"Marathon County Special Education","WI","Healthcare Provider","10079","12/20/2023","Hacking/IT Incident","Email","No",""
"Michigan Orthopaedic Surgeons ","MI","Healthcare Provider","67477","12/19/2023","Hacking/IT Incident","Email","No",""
"ZOLL Medical Corporation ","MA","Health Plan","8898","12/18/2023","Hacking/IT Incident","Email","No",""
"ESO Solutions, Inc. ","TX","Business Associate","2700000","12/18/2023","Hacking/IT Incident","Network Server","Yes",""
"Dallas County","TX","Healthcare Provider","501","12/18/2023","Hacking/IT Incident","Network Server","No",""
"Primary Health & Wellness Center, LLC ","MD","Healthcare Provider","4792","12/17/2023","Hacking/IT Incident","Network Server","No",""
"Community Memorial Healthcare, Inc.","KS","Healthcare Provider","14798","12/16/2023","Hacking/IT Incident","Network Server","No",""
"Erie Family Health Center, Inc. d/b/a Erie Family Health Centers","IL","Healthcare Provider","6351","12/16/2023","Hacking/IT Incident","Email","No",""
"Eyefinity, Inc.","CA","Business Associate","1353","12/14/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"D'Youville Life and Wellness Community, Inc.","MA","Healthcare Provider","501","12/14/2023","Hacking/IT Incident","Network Server","No",""
"Mount Carmel Care Center","MA","Healthcare Provider","501","12/14/2023","Hacking/IT Incident","Network Server","No",""
"Discount Emporium, Inc. d/b/a Drug Emporium","WV","Healthcare Provider","2500","12/14/2023","Hacking/IT Incident","Network Server","Yes",""
"Health Diagnostic Management, LLC","NY","Business Associate","1863","12/12/2023","Hacking/IT Incident","Network Server","Yes",""
"Regional Family Medicine","AR","Healthcare Provider","80166","12/12/2023","Hacking/IT Incident","Network Server","No",""
"Cardiothoracic and Vascular Surgeons, P.A.","TX","Healthcare Provider","500","12/12/2023","Hacking/IT Incident","Network Server","No",""
"Heart of Texas Behavioral Health Network ","TX","Healthcare Provider","63776","12/12/2023","Hacking/IT Incident","Network Server","No",""
"Healix Infusion Therapy, LLC","TX","Business Associate","10277","12/11/2023","Hacking/IT Incident","Network Server","Yes",""
"Keenan & Associates","CA","Health Plan","4631","12/11/2023","Hacking/IT Incident","Network Server","No",""
"Health Alliance Hospital Mary's Avenue Campus","NY","Healthcare Provider","264197","12/11/2023","Hacking/IT Incident","Network Server","No",""
"New Partners, Inc. d/b/a VNS Health Personal Care","NY","Healthcare Provider","5175","12/08/2023","Hacking/IT Incident","Email","No",""
"VNS CHOICE d/b/a VNS Health Health Plans","NY","Health Plan","13584","12/08/2023","Hacking/IT Incident","Email","No",""
"Mercy Medical Center","IA","Healthcare Provider","97132","12/08/2023","Hacking/IT Incident","Network Server","Yes",""
"Independent Living Systems, LLC","FL","Healthcare Provider","19303","12/08/2023","Hacking/IT Incident","Network Server","No",""
